route_id,origin_code,dest_code,origin_city,dest_city,route_label,distance_km,flight_time_hrs,seats,daily_frequency,route_tier,base_total_fare,ask_per_flight,aircraft_type
DEL-BOM,DEL,BOM,Delhi,Mumbai,DEL–BOM,1400,2.25,180,22,Trunk,8500,252000,A320neo
DEL-BLR,DEL,BLR,Delhi,Bengaluru,DEL–BLR,1740,2.75,180,16,Trunk,8500,313200,A320neo
DEL-MAA,DEL,MAA,Delhi,Chennai,DEL–MAA,1760,2.75,180,12,Trunk,8200,316800,A320neo
DEL-HYD,DEL,HYD,Delhi,Hyderabad,DEL–HYD,1250,2.0,180,14,Trunk,6500,225000,A320neo
DEL-CCU,DEL,CCU,Delhi,Kolkata,DEL–CCU,1300,2.25,180,10,Trunk,7500,234000,A320neo
BOM-BLR,BOM,BLR,Mumbai,Bengaluru,BOM–BLR,840,1.5,180,14,Trunk,6800,151200,A320neo
BOM-MAA,BOM,MAA,Mumbai,Chennai,BOM–MAA,1020,1.75,180,12,Metro,5800,183600,A320neo
BOM-HYD,BOM,HYD,Mumbai,Hyderabad,BOM–HYD,710,1.25,180,10,Metro,5200,127800,A320neo
DEL-AMD,DEL,AMD,Delhi,Ahmedabad,DEL–AMD,890,1.5,180,8,Metro,4800,160200,A320neo
DEL-PNQ,DEL,PNQ,Delhi,Pune,DEL–PNQ,1400,2.25,180,8,Metro,6500,252000,A320neo
DEL-GOI,DEL,GOI,Delhi,Goa,DEL–GOI,1900,3.0,180,6,Metro,9500,342000,A320neo
DEL-COK,DEL,COK,Delhi,Kochi,DEL–COK,2650,4.0,180,6,Metro,13000,477000,A320neo
DEL-JAI,DEL,JAI,Delhi,Jaipur,DEL–JAI,260,1.0,180,10,Regional,3600,46800,A320neo
BOM-GOI,BOM,GOI,Mumbai,Goa,BOM–GOI,450,1.0,180,10,Regional,4800,81000,A320neo
BOM-AMD,BOM,AMD,Mumbai,Ahmedabad,BOM–AMD,530,1.0,180,8,Regional,4500,95400,A320neo
BOM-CCU,BOM,CCU,Mumbai,Kolkata,BOM–CCU,1650,2.75,180,8,Metro,8000,297000,A320neo
BLR-MAA,BLR,MAA,Bengaluru,Chennai,BLR–MAA,285,0.75,180,10,Regional,3200,51300,A320neo
BLR-HYD,BLR,HYD,Bengaluru,Hyderabad,BLR–HYD,500,1.0,180,8,Regional,3800,90000,A320neo
DEL-LKO,DEL,LKO,Delhi,Lucknow,DEL–LKO,500,1.0,180,8,Regional,3800,90000,A320neo
DEL-GAU,DEL,GAU,Delhi,Guwahati,DEL–GAU,1590,2.5,180,6,Metro,8500,286200,A320neo
